Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
6830,HOUSE,HOUSE,245000.0,2.0,132.0,1,0,3.0,0,,1,,0,BUY_REGULAR,,0,20104887,899.0,239.0
6200,HOUSE,VILLA,249000.0,5.0,190.0,0,0,4.0,0,,1,,0,BUY_REGULAR,,0,20119864,1.0,992.0
1360,HOUSE,HOUSE,269000.0,4.0,136.0,0,0,,1,374.0,1,,0,BUY_REGULAR,GOOD,0,10664850,681.0,374.0
6470,HOUSE,VILLA,295000.0,4.0,242.0,1,0,4.0,0,,1,,0,BUY_REGULAR,GOOD,0,20127063,858.0,1235.0
5560,HOUSE,HOUSE,299000.0,5.0,321.0,0,0,4.0,1,698.0,1,,0,BUY_REGULAR,GOOD,0,20140839,,850.0
6887,HOUSE,TOWN_HOUSE,250000.0,3.0,209.0,0,0,4.0,0,,0,,0,BUY_REGULAR,,0,20178334,1.0,6172.0
3720,HOUSE,HOUSE,299000.0,4.0,298.0,0,0,,0,,0,,0,BUY_REGULAR,,0,20221013,1090.0,641.0
7041,HOUSE,HOUSE,319000.0,3.0,161.0,1,0,3.0,0,,1,,0,BUY_REGULAR,,0,20159904,,321.0
3800,HOUSE,HOUSE,299000.0,3.0,186.0,1,0,,0,,1,,0,BUY_REGULAR,JUST_RENOVATED,0,20121785,594.0,80.0
7170,HOUSE,HOUSE,320376.0,3.0,187.0,0,0,,1,505.0,0,,0,BUY_REGULAR,GOOD,0,10342794,,571.0
6680,HOUSE,VILLA,325000.0,4.0,189.0,1,0,4.0,0,,0,,0,BUY_REGULAR,GOOD,0,20159295,964.0,1374.0
6690,HOUSE,FARMHOUSE,325000.0,3.0,168.0,1,0,4.0,0,,1,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20150218,366.0,2712.0
1350,HOUSE,HOUSE,327659.0,3.0,163.0,0,0,,1,335.0,0,,0,BUY_REGULAR,GOOD,0,10778774,,426.0
1350,HOUSE,HOUSE,338793.0,4.0,159.0,0,0,,1,508.0,0,,0,BUY_REGULAR,GOOD,0,10778772,,603.0
7170,HOUSE,HOUSE,353249.0,3.0,187.0,0,0,,1,846.0,0,,0,BUY_REGULAR,GOOD,0,10342792,,912.0
5030,HOUSE,HOUSE,369000.0,2.0,137.0,0,0,,0,,0,,0,BUY_REGULAR,GOOD,0,11274654,2320.0,136.0
6110,HOUSE,HOUSE,360000.0,4.0,189.0,1,1,4.0,1,1000.0,1,3.0,0,BUY_REGULAR,TO_BE_DONE_UP,0,20134699,1593.0,1100.0
9090,HOUSE,HOUSE,295000.0,3.0,,1,0,,0,,0,,0,BUY_REGULAR,GOOD,0,20239748,,490.0
2100,APARTMENT,APARTMENT,154000.0,2.0,70.0,1,0,2.0,0,,1,4.0,0,BUY_REGULAR,AS_NEW,0,20364098,716.0,
2000,APARTMENT,APARTMENT,529000.0,2.0,93.0,1,0,2.0,0,,1,12.0,0,BUY_REGULAR,GOOD,0,20364094,,
1082,APARTMENT,APARTMENT,234000.0,2.0,83.0,0,0,2.0,0,,1,10.0,0,BUY_REGULAR,AS_NEW,0,20364097,,
2650,APARTMENT,SERVICE_FLAT,233645.0,1.0,60.0,0,0,,0,,1,10.0,0,BUY_REGULAR,AS_NEW,0,20364091,,
1050,APARTMENT,APARTMENT,210000.0,1.0,48.0,1,0,2.0,0,,0,,0,BUY_REGULAR,GOOD,0,20364090,445.0,
6470,HOUSE,VILLA,420000.0,,205.0,1,0,4.0,1,1850.0,1,20.0,0,BUY_REGULAR,,0,20364106,,2000.0
3450,HOUSE,HOUSE,225000.0,3.0,167.0,0,0,4.0,0,,0,,0,BUY_REGULAR,,0,20364087,1.0,1500.0
4400,HOUSE,HOUSE,189000.0,3.0,119.0,0,0,3.0,0,,1,60.0,0,BUY_REGULAR,,0,20364084,1.0,331.0
7620,HOUSE,HOUSE,316650.0,3.0,91.0,0,0,4.0,0,,0,,0,BUY_REGULAR,,0,20364059,,354.0
4000,APARTMENT,DUPLEX,248500.0,4.0,161.0,1,0,3.0,0,,1,12.0,0,BUY_REGULAR,GOOD,0,20364076,1396.0,
7620,HOUSE,HOUSE,316650.0,3.0,91.0,0,0,4.0,0,,0,,0,BUY_REGULAR,,0,20364063,,354.0
2300,HOUSE,HOUSE,344700.0,3.0,144.0,1,0,,0,,1,9.0,0,BUY_REGULAR,,0,20364080,,
8930,HOUSE,HOUSE,325000.0,3.0,217.0,1,0,4.0,1,318.0,1,,0,BUY_REGULAR,TO_RENOVATE,0,20364057,1155.0,453.0
1541,HOUSE,MIXED_USE_BUILDING,249000.0,7.0,341.0,1,0,2.0,0,,0,,0,BUY_REGULAR,TO_RENOVATE,0,20364056,1159.0,220.0
1070,APARTMENT,APARTMENT,129000.0,,39.0,1,0,4.0,0,,1,10.0,0,BUY_REGULAR,,0,20364051,,
8600,APARTMENT,APARTMENT,265000.0,2.0,85.0,0,0,,0,,0,,0,BUY_REGULAR,GOOD,0,20364046,,
9230,HOUSE,EXCEPTIONAL_PROPERTY,849000.0,4.0,327.0,1,0,4.0,0,,1,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364043,1732.0,1576.0
